,company,title,description,content,published_at,source,url,sentiment,published_date
0,Tesla,Tesla board chair calls debate over Elon Musk’s $1T pay package ‘a little bit weird’,"Tesla's board chair is defending a proposed 10-year, $1 trillion compensation package for CEO Elon Musk.","With Tesla shareholders set to vote on a proposed 10-year, $1 trillion compensation package for CEO Elon Musk in November, board chair Robyn Denholm spoke to The New York Times to defend what would be the largest pay package in corporate history.
Den... [843 chars]",2025-09-13T21:33:34Z,TechCrunch,https://techcrunch.com/2025/09/13/tesla-board-chair-calls-debate-over-elon-musks-1t-pay-package-a-little-bit-weird/,NEGATIVE,2025-09-13
1,Tesla,Tesla Promised Big Range With The Cybertruck - Here's What Owners Are Actually Getting,All three models of Tesla Cybertruck get less than the advertised range on a single charge in real-world tests. This can vary with speed or driving conditions.,"The Tesla Cybertruck is one of the most unique-looking vehicles currently on the road. Omitting the curves of modern cars for sharp lines and sharper edges, the Cybertruck is a vehicle that captures attention wherever it goes, even as its resale valu... [2500 chars]",2025-09-13T18:17:00Z,BGR,https://www.bgr.com/1964387/tesla-cybertruck-range-reports-from-owners/,NEGATIVE,2025-09-13
2,Tesla,Elon Musk slams 'woke mind virus' at Tommy Robinson march as many arrests expected,Tommy Robinson was delighted to welcome Elon Musk to address the 'United the Kingdom' march via a video link before the Tesla owner called for a 'change of Government',"Tommy Robinson was delighted to welcome Elon Musk to address the 'United the Kingdom' march via a video link before the Tesla owner called for a 'change of Government'
Elon Musk called for the ""dissolution of Parliament"" and slammed the ""woke mind vi... [3799 chars]",2025-09-13T17:22:42Z,The daily Star,https://www.dailystar.co.uk/news/elon-musk-slams-woke-mind-35898687,POSITIVE,2025-09-13
3,Tesla,Tesla's most affordable Cybertruck gets scrapped after a whopping five months,"You won't be able to find the rear-wheel drive trim of the Cybertruck on Tesla's website that started at $69,990.","The rear-wheel drive trim of the Tesla Cybertruck lasted about five months before it was unceremoniously removed from online sales. The Long Range model represented the most affordable Cybertruck option with its starting price of $69,990, but visitor... [763 chars]",2025-09-13T16:43:22Z,Engadget,https://www.engadget.com/transportation/evs/teslas-most-affordable-cybertruck-gets-scrapped-after-a-whopping-five-months-164322445.html,NEGATIVE,2025-09-13
4,Tesla,"U.S. Stock Market Nears Records Ahead of Fed Meeting; Nvidia, Meta, Tesla Eye Technical Breakouts","U.S. stocks climbed to record highs ahead of the Federal Reserve's September meeting, with Nvidia, Meta and Tesla near key buy points. Investors await signals from Fed Chair Jerome Powell on rates","NEW YORK — U.S. stock indices surged to new highs last week ahead of a key Federal Reserve meeting, with artificial intelligence-related shares among the leaders. Investors are watching closely for possible signals from the Fed as rate expectations a... [2166 chars]",2025-09-13T15:15:29Z,International Business Times,https://www.ibtimes.com/us-stock-market-nears-records-ahead-fed-meeting-nvidia-meta-tesla-eye-technical-breakouts-3783273,POSITIVE,2025-09-13
5,Tesla,Tesla accidentally reveals xAI's meaning: Exploratory Artificial Intelligence,"Tesla's filing may have accidentally revealed that xAI stands for ‘exploratory artificial intelligence'. However, neither Musk nor the company has officially confirmed this. For now, xAI's mission to build advanced artificial general intelligence (AGI) remains its defining purpose.","New Delhi:
Tesla has recently filed a 10-year compensation plan that could potentially make Elon Musk the world’s first trillionaire. However, hidden in the 16-page proxy statement dated 5 September 2025 was an unexpected detail about Musk’s artifici... [2135 chars]",2025-09-13T14:00:01Z,India TV News,https://www.indiatvnews.com/technology/news/tesla-accidentally-reveals-xai-s-meaning-exploratory-artificial-intelligence-2025-09-13-1008046,POSITIVE,2025-09-13
6,Tesla,S&P 500 Giants Tesla And Nvidia Lead 5 Stocks Near Buy Zones With Market At Highs,S&P 500: Tesla and Nvidia are among five stocks near buy zones to watch with the AI-led market rally at record highs.,"Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. The information has been obtained from sources we ... [1013 chars]",2025-09-13T12:00:50Z,Investor's Business Daily,https://www.investors.com/news/sp500-tesla-nvidia-stock-market-highs/,POSITIVE,2025-09-13
7,Tesla,Tesla accused of H1B bias: Why does Elon Musk prefer foreign talent over Americans?,"News News: Tesla faces a class-action lawsuit alleging bias toward H-1B visa workers over US citizens, raising concerns of wage suppression and hiring discrimina","Tesla faces a class-action lawsuit alleging bias toward H-1B visa workers over US citizens, raising concerns of wage suppression and hiring discrimination. Plaintiffs claim Tesla labeled roles as “H-1B only,” sidelining Americans. Elon Musk defends h... [4824 chars]",2025-09-13T11:00:00Z,Times of India,https://timesofindia.indiatimes.com/education/news/tesla-accused-of-h1b-bias-why-does-elon-musk-prefer-foreign-talent-over-americans/articleshow/123866509.cms,NEGATIVE,2025-09-13
8,Tesla,"From 600 to 1,100: Tesla’s India Bookings Gain Traction, FY25 Target in Sight","Tesla’s India debut is gaining traction with bookings crossing 1,100 units by mid-September. Sources say the Model Y spearheads the rollout, with expansion plans for Bengaluru and other models ahead. Analysts caution that Tesla’s success hinges on service, novelty, and sustaining demand.","Tesla’s much-anticipated entry into India is beginning to show early traction, with the company’s orderbook reportedly crossing 1,100 units as of mid-September, according to sources familiar with the development. The figure marks a sharp jump from ea... [3537 chars]",2025-09-13T09:17:55Z,Republic World,https://www.republicworld.com/business/from-600-to-1100-teslas-india-bookings-gain-traction-fy25-target-in-sight,POSITIVE,2025-09-13
9,Tesla,"Tesla may have just revealed what Elon Musk’s xAI really stands for, by accident","Tesla’s recent pay plan for Elon Musk has not only raised the prospect of him becoming a trillionaire, but has also cast fresh light on the mysterious origins of his AI venture’s name, xAI.","Tesla’s unveiling of a ten-year compensation plan that could see Elon Musk become a trillionaire has inadvertently drawn attention to the ambiguous branding of one of his companies, xAI. In its proxy statement dated 5 September 2025, Tesla outlined M... [3945 chars]",2025-09-13T07:18:48Z,India Today,https://www.indiatoday.in/technology/news/story/tesla-may-have-just-revealed-what-elon-musks-xai-really-stands-for-by-accident-2786693-2025-09-13,POSITIVE,2025-09-13
